imdb_id,en_name,original_name
tt0109830,Forrest Gump,
tt0120689,The Green Mile,Original title: The Green Mile
tt0120338,Titanic,
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Original title: Pirates of the Caribbean: The Curse of the Black Pearl
tt0910970,WALL·E,
tt0112573,Braveheart,
tt0110357,The Lion King,Original title: The Lion King
tt0114709,Toy Story,
tt0268978,A Beautiful Mind,Original title: A Beautiful Mind
tt0198781,"Monsters, Inc.","Original title: Monsters, Inc."
tt0208092,Snatch,Original title: Snatch
tt0903624,The Hobbit: An Unexpected Journey,
tt0435761,Toy Story 3,
tt1675434,The Intouchables,
tt0253474,The Pianist,Original title: The Pianist
tt0480249,I Am Legend,Original title: I Am Legend
tt0892769,How to Train Your Dragon,Original title: How to Train Your Dragon
tt1877832,X-Men: Days of Future Past,
tt0317705,The Incredibles,Original title: The Incredibles
tt0383574,Pirates of the Caribbean: Dead Man's Chest,Original title: Pirates of the Caribbean: Dead Man's Chest
tt1270798,X-Men: First Class,Original title: X: First Class
tt0405159,Million Dollar Baby,
tt1951264,The Hunger Games: Catching Fire,Original title: The Hunger Games: Catching Fire
tt0126029,Shrek,
tt2096673,Inside Out,Original title: Inside Out
tt0440963,The Bourne Ultimatum,Original title: The Bourne Ultimatum
tt0816711,World War Z,
tt1170358,The Hobbit: The Desolation of Smaug,Original title: The Hobbit: The Desolation of Smaug
tt0418279,Transformers,
tt1670345,Now You See Me,Original title: Now You See Me
tt0449088,Pirates of the Caribbean: At World's End,Original title: Pirates of the Caribbean: At World's End
tt2802144,Kingsman: The Secret Service,Original title: Kingsman: The Secret Service
tt0988045,Sherlock Holmes,
tt0369610,Jurassic World,
tt0120903,X-Men,
tt1024648,Argo,
tt1637725,Ted,
tt0936501,Taken,
tt0948470,The Amazing Spider-Man,
tt0120735,"Lock, Stock and Two Smoking Barrels","Original title: Lock, Stock and Two Smoking Barrels"
tt0116629,Independence Day,Original title: Independence Day
tt0120363,Toy Story 2,
tt6751668,Parasite,Original title: Gisaengchung
tt0162222,Cast Away,Original title: Cast Away
tt0829482,Superbad,Original title: Superbad
tt1156398,Zombieland,Original title: Zombieland
tt0332280,The Notebook,Original title: The Notebook
tt0119654,Men in Black,
tt0075148,Rocky,
tt0290334,X2: X-Men United,Original title: X2
tt1232829,21 Jump Street,
tt0258463,The Bourne Identity,Original title: The Bourne Identity
tt0413300,Spider-Man 3,
tt1323594,Despicable Me,Original title: Despicable Me
tt0343818,"I, Robot",
tt0450259,Blood Diamond,
tt0332452,Troy,Original title: Troy
tt0376994,X-Men: The Last Stand,Original title: X-Men: The Last Stand
tt1298650,Pirates of the Caribbean: On Stranger Tides,Original title: Pirates of the Caribbean: On Stranger Tides
tt1343092,The Great Gatsby,Original title: The Great Gatsby
tt2310332,The Hobbit: The Battle of the Five Armies,Original title: The Hobbit: The Battle of the Five Armies
tt1570728,"Crazy, Stupid, Love.","Original title: Crazy, Stupid, Love."
tt0095953,Rain Man,
tt0099785,Home Alone,Original title: Home Alone
tt0458525,X-Men Origins: Wolverine,
tt0289879,The Butterfly Effect,Original title: The Butterfly Effect
tt0356910,Mr. & Mrs. Smith,
tt1727824,Bohemian Rhapsody,
tt0448157,Hancock,
tt0268380,Ice Age,Original title: Ice Age
tt0790636,Dallas Buyers Club,
tt0449059,Little Miss Sunshine,
tt2179136,American Sniper,
tt1291584,Warrior,
tt0372183,The Bourne Supremacy,Original title: The Bourne Supremacy
tt2119532,Hacksaw Ridge,Original title: Hacksaw Ridge
tt2948356,Zootopia,Original title: Zootopia
tt1430132,The Wolverine,Original title: The Wolverine
tt1454029,The Help,Original title: The Help
tt1840309,Divergent,Original title: Divergent
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,Original title: Indiana Jones and the Kingdom of the Crystal Skull
tt0314331,Love Actually,
tt5027774,"Three Billboards Outside Ebbing, Missouri","Original title: Three Billboards Outside Ebbing, Missouri"
tt1499658,Horrible Bosses,Original title: Horrible Bosses
tt4972582,Split,
tt0887912,The Hurt Locker,Original title: The Hurt Locker
tt0097165,Dead Poets Society,Original title: Dead Poets Society
tt1515091,Sherlock Holmes: A Game of Shadows,Original title: Sherlock Holmes: A Game of Shadows
tt0298148,Shrek 2,
tt0441773,Kung Fu Panda,
tt1535109,Captain Phillips,Original title: Captain Phillips
tt0327056,Mystic River,
tt1790864,The Maze Runner,Original title: The Maze Runner
tt1872181,The Amazing Spider-Man 2,Original title: The Amazing Spider-Man 2
tt1895587,Spotlight,
tt0101414,Beauty and the Beast,Original title: Beauty and the Beast
tt0319262,The Day After Tomorrow,Original title: The Day After Tomorrow
tt1951265,The Hunger Games: Mockingjay - Part 1,Original title: The Hunger Games: Mockingjay - Part 1
tt3183660,Fantastic Beasts and Where to Find Them,Original title: Fantastic Beasts and Where to Find Them
tt2245084,Big Hero 6,Original title: Big Hero 6
tt0362227,The Terminal,Original title: The Terminal
tt0830515,Quantum of Solace,
tt1723121,We're the Millers,Original title: We're the Millers
tt0382625,The Da Vinci Code,Original title: The Da Vinci Code
tt0325710,The Last Samurai,Original title: The Last Samurai
tt0120591,Armageddon,
tt0405422,The 40-Year-Old Virgin,Original title: The 40 Year Old Virgin
tt3385516,X-Men: Apocalypse,
tt0093779,The Princess Bride,Original title: The Princess Bride
tt0120616,The Mummy,Original title: The Mummy
tt0337978,Live Free or Die Hard,Original title: Live Free or Die Hard
tt0780536,In Bruges,Original title: In Bruges
tt1605783,Midnight in Paris,Original title: Midnight in Paris
tt1399103,Transformers: Dark of the Moon,Original title: Transformers: Dark of the Moon
tt2379713,Spectre,Original title: Spectre
tt1055369,Transformers: Revenge of the Fallen,Original title: Transformers: Revenge of the Fallen
tt1245492,This Is the End,Original title: This Is the End
tt0119567,The Lost World: Jurassic Park,Original title: The Lost World: Jurassic Park
tt1772341,Wreck-It Ralph,Original title: Wreck-It Ralph
tt0181852,Terminator 3: Rise of the Machines,Original title: Terminator 3: Rise of the Machines
tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Original title: Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
tt0942385,Tropic Thunder,Original title: Tropic Thunder
tt0163651,American Pie,
tt1060277,Cloverfield,
tt0103639,Aladdin,
tt0315327,Bruce Almighty,Original title: Bruce Almighty
tt0458352,The Devil Wears Prada,Original title: The Devil Wears Prada
