movie_id,movie_title,rating_count,director,list_genre,list_country,title_year,original_name
tt8816194,Come to Daddy,17945,Ant Timpson,"Comedy,Mystery,Thriller","Ireland,Canada,New Zealand,United States",2019,
tt0450314,The Punisher: Zone de guerre,63354,Lexi Alexander,"Action,Crime,Drama","United States,Canada,Germany",2008,Punisher: War Zone
tt0080365,American Gigolo,25521,Paul Schrader,"Crime,Drama,Mystery",United States,1980,
tt4935418,Baskin,10718,Can Evrenol,"Crime,Drama,Fantasy",Turkey,2015,
tt0050280,Frankenstein s'est échappé,11121,Terence Fisher,"Horror,Sci-Fi,Thriller",United Kingdom,1957,The Curse of Frankenstein
tt8099132,Black Mother,507,Khalik Allah,Documentary,"Jamaica,United States",2018,
tt0454065,Telepolis,4262,Esteban Sapir,"Drama,Fantasy,Sci-Fi",Argentina,2007,La antena
tt0119167,Funny Games,73924,Michael Haneke,"Crime,Drama,Thriller",Austria,1997,
tt4139588,Polar,88375,Jonas Åkerlund,"Action,Thriller","United States,Germany",2019,
tt0343818,"I, Robot",533386,Alex Proyas,"Action,Mystery,Sci-Fi","United States,Germany",2004,
tt6462506,Le Jour d'après,2196,Hong Sang-soo,"Drama,Romance",South Korea,2017,Geu-hu
tt1534085,Beyond the Black Rainbow,15134,Panos Cosmatos,"Horror,Sci-Fi,Thriller",Canada,2010,
tt2334733,Madame Bovary,8345,Sophie Barthes,"Drama,Romance","Germany,Belgium,United States",2014,
tt1235124,Dorian Gray,64544,Oliver Parker,"Drama,Fantasy,Mystery",United Kingdom,2009,
tt0085852,Liquid Sky,6330,Slava Tsukerman,"Sci-Fi,Thriller",United States,1982,
tt0049189,Et Dieu... créa la femme,8474,Roger Vadim,"Drama,Romance",France,1956,
tt0115964,Crash,59758,David Cronenberg,Drama,"Canada,United Kingdom",1996,
tt4035268,Cosmos,1982,Andrzej Zulawski,"Comedy,Crime,Drama","France,Portugal",2015,
tt0067958,WR ou les mystères de l'organisme,4982,Dusan Makavejev,"Comedy,Drama,Fantasy","Yugoslavia,West Germany",1971,W.R. - Misterije organizma
tt8372298,Swallow,23113,Carlo Mirabella-Davis,Drama,"United States,France",2019,
tt5058014,Weirdos,523,Bruce McDonald,Drama,Canada,2016,
tt0096895,Batman,373132,Tim Burton,"Action,Adventure","United States,United Kingdom",1989,
tt0330099,The Brown Bunny,15530,Vincent Gallo,Drama,"United States,Japan",2003,
tt0181549,Furia,613,Alexandre Aja,"Drama,Romance,Sci-Fi",France,1999,
tt0093565,Éclair de lune,59291,Norman Jewison,"Comedy,Drama,Romance",United States,1987,Moonstruck
tt0067085,Fata Morgana,3785,Werner Herzog,"Documentary,Comedy,Drama",West Germany,1971,
tt0055022,La ruée des Vikings,861,Mario Bava,"Action,Adventure,Romance","Italy,France",1961,Gli invasori
tt0067386,Malpertuis,1451,Harry Kümel,"Drama,Fantasy,Horror","Belgium,France,West Germany",1971,
tt2147319,Herutâ sukerutâ,2687,Mika Ninagawa,"Drama,Horror",Japan,2012,
tt0085334,Christmas Story,146797,Bob Clark,"Comedy,Family",United States,1983,A Christmas Story
tt0049263,La blonde et moi,3495,Frank Tashlin,"Comedy,Music",United States,1956,The Girl Can't Help It
tt0416220,Kamikaze Girls,7488,Tetsuya Nakashima,Comedy,Japan,2004,Shimotsuma monogatari
tt0100998,Rêves (Dreams),26353,Akira Kurosawa,"Drama,Fantasy","Japan,United States",1990,Yume
tt0053604,La garçonnière,179479,Billy Wilder,"Comedy,Drama,Romance",United States,1960,The Apartment
tt1173745,Revanche,14747,Götz Spielmann,"Crime,Drama,Romance",Austria,2008,
tt0120275,La leçon de tango,2357,Sally Potter,"Drama,Music,Romance","United Kingdom,France,Argentina,Germany,Netherlands,United States",1997,The Tango Lesson
