movie_id;movie_title;movie_title_original;rating_count;title_year;director;list_genre;list_country;movie_title_en
tt0324216;Massacre à la tronçonneuse;The Texas Chainsaw Massacre;161000;2003;Marcus Nispel;Drame psychologique,Gore,Horreur pour adolescents,Horreur psychologique,Slasher,Horreur;United States;The Texas Chainsaw Massacre
tt0087981;Razorback;Razorback;8700;1984;Russell Mulcahy;Monstres,Horreur,Thriller;Australia;Razorback
tt0078767;Amityville : La Maison du diable;The Amityville Horror;49000;1979;Stuart Rosenberg;Horreur;United States;The Amityville Horror
tt0089489;Lifeforce - L'étoile du mal;Lifeforce;34000;1985;Tobe Hooper;Horreur corporelle,Invasion extraterrestre,Action,Horreur,Mystère,Romance,Science-fiction,Thriller;United Kingdom;Lifeforce
tt0059440;À minuit, je possèderai ton âme;À Meia Noite Levarei Sua Alma;4400;1964;José Mojica Marins;Portugais,Horreur folklorique,Horreur surnaturelle,Horreur;Brazil;At Midnight I'll Take Your Soul
tt0026685;La marque du vampire;Mark of the Vampire;6100;1935;Tod Browning;Horreur,Mystère;United States;Mark of the Vampire
tt26470109;Oddity;Oddity;55000;2024;Damian Mc Carthy;Horreur folklorique,Horreur surnaturelle,Horreur,Thriller;Ireland;Oddity
tt0076683;La sentinelle des maudits;The Sentinel;14000;1977;Michael Winner;Horreur surnaturelle,Horreur;United States;The Sentinel
tt6039372;Ghosts of Love;Rökkur;1300;2017;Erlingur Thoroddsen;Horreur psychologique,Suspense et mystère,Thriller psychologique,Drame,Horreur,Mystère,Thriller;Iceland,United States,Canada;Rift
tt1727516;Livide;Livide;8300;2011;Alexandre Bustillo;Français,Dark Fantasy,Horreur folklorique,Vampires,Fantastique,Horreur;France;Livid
tt1925493;Random Acts of Violence;Random Acts of Violence;3400;2019;Jay Baruchel;Horreur;United States,Canada;Random Acts of Violence
tt0070297;Les 7 Vampires d'or;The Legend of the 7 Golden Vampires;5500;1974;Roy Ward Baker;Arts martiaux,Film d'action série B,Film d’horreur de série B,Vampires,Action,Horreur;United Kingdom,Hong Kong;The Legend of the 7 Golden Vampires
tt7527682;Out of Darkness;Out of Darkness;8200;2022;Andrew Cumming;Horreur folklorique,Monstres,Survie,Horreur,Mystère,Thriller;United Kingdom;Out of Darkness
