movie_name,year,link,imdb_id,imdb_name,imdb_year
1917,2019,blu-ray/1917/,tt8579674,1917 (2019),2019
2001: A Space Odyssey,1968,blu-ray/2001-A-Space-Odyssey/,tt0062622,2001 : L'Odyssée de l'espace (1968),1968
2046,2004,dvd/2046/,tt0212712,2046 (2004),2004
5 Centimeters per Second,2007,blu-ray/5-Centimeters-Per-Second/,tt0983213,5 centimètres par seconde (2007),2007
9 1/2 Weeks,1986,blu-ray/9-and-a-Half-Weeks/,tt0091635,9 semaines 1/2 (1986),1986
A.I. Artificial Intelligence,2001,blu-ray/A-I-Artificial-Intelligence/,tt0212720,A.I. Intelligence artificielle (2001),2001
Across the Universe,2007,blu-ray/Across-the-Universe/,tt0445922,Across the Universe (2007),2007
Ad Astra,2019,blu-ray/Ad-Astra/,tt2935510,Ad Astra (2019),2019
"The Adventures of Priscilla, Queen of the Desert",1994,dvd/The-Adventures-of-Priscilla-Queen-of-the-Desert/,tt0109045,"Priscilla, folle du désert (1994)",1994
Almost Famous,2000,dvd/Almost-Famous/,tt0181875,Presque célèbre (2000),2000
Altered States,1980,blu-ray/Altered-States/,tt0080360,Au-delà du réel (1980),1980
Amélie,2001,blu-ray/Amelie/,tt0211915,Le fabuleux destin d'Amélie Poulain (2001),2001
American Beauty,1999,dvd/American-Beauty/,tt0169547,American Beauty (1999),1999
Annihilation,2018,blu-ray/Annihilation/,tt2798920,Annihilation (I) (2018),2018
Apocalypse Now,1979,dvd/Apocalypse-Now/,tt0078788,Apocalypse Now (1979),1979
Ashes of Time,1994,blu-ray/Ashes-of-Time/,tt0109688,Les cendres du temps (1994),1994
Atomic Blonde,2017,blu-ray/Atomic-Blonde/,tt2406566,Atomic Blonde (2017),2017
Atonement,2007,dvd/Atonement/,tt0783233,Reviens-moi (2007),2007
Avatar,2009,blu-ray/Avatar/,tt0499549,Avatar (2009),2009
Æon Flux,2005,blu-ray/AEon-Flux/,tt0402022,Æon Flux (2005),2005
Badlands,1973,dvd/Badlands/,tt0069762,La balade sauvage (1973),1973
Baraka,1992,blu-ray/Baraka/,tt0103767,Baraka (1992),1992
Barbarella,1968,blu-ray/Barbarella/,tt0062711,Barbarella (1968),1968
Basic Instinct,1992,dvd/Basic-Instinct/,tt0103772,Basic Instinct (1992),1992
Basic Instinct 2,2006,dvd/Basic-Instinct-2/,tt0430912,Basic Instinct 2 (2006),2006
Batman,1989,dvd/Batman/,tt0096895,Batman (1989),1989
Batman Begins,2005,dvd/Batman-Begins/,tt0372784,Batman Begins (2005),2005
Beyond the Valley of the Dolls,1970,blu-ray/Beyond-the-Valley-of-the-Dolls/,tt0065466,Beyond the Valley of the Dolls (1970),1970
Big Fish,2003,blu-ray/Big-Fish/,tt0319061,Big Fish (2003),2003
Birdman or (The Unexpected Virtue of Ignorance),2014,blu-ray/Birdman/,tt2562232,Birdman ou (La Surprenante vertu de l'ignorance) (2014),2014
The Black Dahlia,2006,dvd/The-Black-Dahlia/,tt0387877,Le dahlia noir (2006),2006
Black Narcissus,1947,blu-ray/Black-Narcissus/,tt0039192,Le narcisse noir (1947),1947
Black Swan,2010,blu-ray/Black-Swan/,tt0947798,Black Swan (2010),2010
Blade Runner,1982,blu-ray/Blade-Runner/,tt0083658,Blade Runner (1982),1982
Blade Runner 2049,2017,blu-ray/Blade-Runner-2049/,tt1856101,Blade Runner 2049 (2017),2017
