artist_id;name;popularity;genres
5gqmbbfjcikQBzPB5Hv13I;Gazo;75;['drill francais', 'french hip hop', 'pop urbaine', 'rap francais']
6W5uA6CNMf3hd2j4a2XWCx;Naps;78;['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
2kXKa3aAFngGz2P4GjG5w2;SCH;83;['french hip hop', 'pop urbaine', 'rap marseille']
6HkzZenXCsrdGcqMgWJECN;Jul;63;[]
5QuZ9HdvnXcX8kEG782Phv;Le Rat Luciano;58;['french hip hop', 'old school rap francais', 'rap inde', 'rap marseille']
3CnCGFxXbOA8bAK54jR8js;Vald;72;['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']
5dWe4yBsjLuIaqVXBoa1lf;Echelon;57;[]
63MCBZRiUdnqRsAOJwijiB;Sadek;70;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
6Te49r3A6f5BiIgBRxH7FH;Ninho;82;['french hip hop', 'pop urbaine']
58wXmynHaAWI5hwlPZP3qL;Booba;80;['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']
7J0JxtOPMKWufOraoIqjiH;JSX;66;['french hip hop', 'pop urbaine', 'rap francais']
78Die3Gb8yaElTmGCa7m7N;Kore;70;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
2z2TRvloJt4EfUNQp9rHAi;Alonzo;72;['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap francais', 'rap marseille']
3IW7ScrzXmPvZhB27hmfgy;Jul;81;['francoton', 'rap marseille']
0LKAV3zJ8a8AIGnyc5OvfB;SDM;70;['french hip hop', 'pop urbaine', 'rap francais']
5hREZP0zTQbTLkZ2M8RS4v;Djadja & Dinaz;76;['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']
76Pl0epAMXVXJspaSuz8im;Freeze corleone;73;['drill francais']
4zL74Vyz5oIdgMtWyO4aUt;Deeloc;45;['rap francais']
3S8r9fkqybCCXJLhZGA3r1;Cinco;47;['french hip hop', 'pop urbaine', 'rap francais']
3fnfvu19t4JYyEkRldXsO5;Kodes;61;['french hip hop', 'pop urbaine', 'rap francais']
54kCbQZaZWHnwwj9VP2hn4;Zola;71;['french hip hop', 'pop urbaine', 'rap francais']
2sM5HiSaD55xHKQCj9a5jY;Maxi Jay;30;[]
3nDLTOGw0WwwddP3tq5561;Coyote Jo Bastard;51;['french hip hop', 'pop urbaine', 'rap francais']
7iHnpqeOGvTs7ZMMw1tGCF;Flaco Mundo;24;[]
05hirnMeVIzCrcUxbrysZU;Hatik;72;['francoton', 'french hip hop', 'pop urbaine']
6qFt3TjvxMt77YGsktWG8Z;Sofiane;68;['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap conscient', 'rap francais']
0DQx7HJhLzjbSQNsNhrpLT;Leith;43;['rap calme']
2DkgMESM21mm7IoELw2tjQ;Berry;38;[]
2UwqpfQtNuhBwviIC0f2ie;Damso;77;['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']
62bfWwr1ceeuC0XENEmgkk;Lambitieux;21;[]
1OTkYDmVb34zoFVQNtFetV;Dadou;22;[]
1QMdau3cUloTZtR7JXpBLH;BOUB'Z;32;['rap belge']
6C91nXJJkhPEoc5thhKiNn;Boumso;44;['pop urbaine', 'rap francais']
0GOx72r5AAEKRGQFn3xqXK;GIMS;76;['francoton', 'french hip hop', 'rap conscient']
6o5sl0TGublDPXyMHdMq1E;Moha K;66;['francoton', 'pop urbaine']
71XOKoFKWFjlV91e2Z5r21;Frenetik;56;['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap calme', 'rap francais']
07h4CCFmlXkwx0g4PL5Uuh;Guy2bezbar;56;['french hip hop', 'pop urbaine', 'rap francais']
3DCWeG2J1fZeu0Oe6i5Q6m;PLK;75;['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']
3vUMXQ9kPnZAQkMkZZ7Hfh;Tiakola;65;['rap francais']
3tTvSeZiFDP3CY5EdPGcR4;ASHE 22;65;['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']
2s7fZ34RK8RUJQ2ewsh6I5;RK;68;['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']
2V5xArcB3BGAHmwsK46tyU;Vladimir Cauchemar;61;[]
0LnhY2fzptb0QEs5Q5gM7S;Laylow;67;['french hip hop', 'pop urbaine', 'rap calme', 'rap francais']
2rxubOde1svVDYAVDy7PDS;Asdek;51;[]
2eh8cEKZk4VeruUrGq748D;Rim'K;67;['arabic hip hop', 'francoton', 'french hip hop', 'pop urbaine', 'rap algerien', 'rap francais']
2k8fAJK9HbH1FhqVpZL98P;YL;60;['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
0Kwf0zcciIFGLCKiqNcO6Q;SRNO;65;['dutch hip hop', 'dutch rap pop']
7CUFPNi1TU8RowpnFRSsZV;Niska;75;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
2kIs76sEGiulKeqetZq6ua;Jok'air;69;['francoton', 'french hip hop', 'pop urbaine', 'rap calme', 'rap francais']
5DE0by3fZT0nrlJSutY2D7;Caballero;63;['belgian hip hop', 'french hip hop', 'rap calme', 'rap francais']
3b5bg1k6N9u31OtzSfK2dP;Dosseh;63;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
7DUTsWY3RBd64vh8UtgtYA;Lacrim;70;['arabic hip hop', 'francoton', 'french hip hop', 'pop urbaine', 'rap francais']
6L34dW6SKMSDaGIfYDU19j;Maes;74;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
20pbz4TbpkBUr5JwYfGgPS;Kekra;69;['french hip hop', 'pop urbaine', 'rap francais']
1HH5TlkjRt2FG8dpkWNm5j;ISK;62;['french hip hop', 'pop urbaine', 'rap francais']
5gs4Sm2WQUkcGeikMcVHbh;Hamza;73;['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap francais']
25yJrwrn5I0EUdQEiTtNSO;Lefa;68;['francoton', 'french hip hop', 'pop urbaine', 'rap calme', 'rap conscient', 'rap francais']
4Ue6MAZqz18NlaOQomRXLU;1PLIKÉ140;68;['drill francais', 'french hip hop', 'pop urbaine', 'rap francais']
5RaQ9nmVGoTye2SI76x3yw;Kofs;65;['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
0oeiA5U9u1U45Gos5cywUU;Soso Maness;67;['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
2IoSLl3tqYMq9DzR0d6NJN;Elams;65;['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
7FXX45sHqoQoCwqtG0ZV8H;Solda;63;[]
6zrOXBaNn0DqJeXxgC2eyH;Houari;64;['pop urbaine']
19u3RGWKsjmbg9eI6zAiNp;13 Organisé;65;['french hip hop', 'pop urbaine', 'rap francais']
66Ok6bgC570sHkw08N20pZ;OBOY;69;['french hip hop', 'pop urbaine', 'rap francais']
35B6bq5keTR1PYEahq1TAF;Sasso;60;['french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']
0ahfpnYB6TIb9k2nhkJMLe;ZKR;43;[]
1q7T9rFQ2a2ukA1PU51fo3;Koba LaD;72;['french hip hop', 'pop urbaine', 'rap francais']
0mmk05vTtGGG2jYwLxRHwy;Zed;62;[]
6HCBnyTBSLdb3TFn2ayulY;Leto;71;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
5U05AU34EcZ8pfohg2dicI;UZI;66;['french hip hop', 'pop urbaine', 'rap francais']
2hgP9Ap2tc10R5jrQaEpMT;Charles Aznavour;66;['chanson']
15uNxh8omvRvH71kcdIe2r;Renaud;61;['chanson', 'french pop', 'french reggae', 'french rock']
1WPcVNert9hn7mHsPKDn7j;Édith Piaf;65;['chanson', 'torch song', 'vintage schlager']
5LVp2pGNzmOQqXzziBBR5x;Alain Souchon;58;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']
5UWyW1PcEM8coxeqg3RIHr;Georges Brassens;58;['chanson', 'french pop', 'french rock']
3THqHCN7gq2Z9hLleof9uv;Nino Ferrer;55;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise', 'ye ye']
3ayds6VIVBx3CU5NSNCDbq;Jacques Dutronc;55;['chanson', 'french pop', 'french rock', 'ye ye']
22HVxZPA6UhBp8wahxDA6I;France Gall;61;['chanson', 'french pop', 'ye ye']
28IqYhzq3UU46bbY0mRgn7;Daniel Balavoine;58;['chanson', 'francoton', 'french pop']
3K8EYZ4Ltg6ythgGZzrFXf;Marc Lavoine;57;['chanson', 'french pop', 'nouvelle chanson francaise']
4RN2vlFWepLa46qQIU2PHs;Jacques Brel;60;['belgian singer-songwriter', 'chanson', 'french pop']
04aQfpx1U1WQEJkrvGs4ig;Dalida;60;['chanson', 'french pop']
2e1aRMKieswINolf49MzQ8;Alain Delon;48;[]
5skauLarl8sqqUFypECtP4;Michel Berger;55;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']
6MmRTVIPIe35OsFqWgRKQJ;Christophe;56;['chanson', 'french pop', 'french rock', 'vintage french electronic']
4KBk9hwqFYtGS3DlZJiCsQ;Eddy Mitchell;55;['chanson', 'french pop']
1QQlg9J5PEMv9cpOOJPUvR;Il Etait Une Fois;44;['chanson']
2HALYSe657tNJ1iKVXP2xA;Johnny Hallyday;64;['chanson', 'francoton', 'french pop', 'ye ye']
3fR5PRhFohNbxEXDE69pUz;Serge Lama;47;['chanson', 'french pop']
0g7hZVprd3orBpMrSLWeJ9;Florent Pagny;59;['chanson', 'francoton', 'french pop']
5uo5NwSONVNfvSHHMQrHAv;Francis Cabrel;64;['chanson', 'french pop', 'french rock']
7aKldvGENbL4bj8TCWHuhT;Michel Polnareff;53;['chanson', 'french pop', 'ye ye']
0vmrFTWCwK3gFGDzeUzeMg;Patrick Bruel;58;['chanson', 'francoton', 'french pop', 'variete francaise']
4GAdDePOvBsOl3n3nVHWpt;Jean Ferrat;53;['chanson', 'french pop']
29My6ypNwcVp0mjpy3sX2E;Stephan Eicher;50;['chanson', 'french pop', 'french rock', 'swiss rock']
18PkzXDURSTyGZTg9w66qq;Patrick Fiori;59;['chanson', 'francoton', 'french pop']
2Cx19OTMqa6gpz2l60cGG2;Jean-Jacques Goldman;64;['chanson', 'francoton', 'french pop', 'french rock']
6HemVd833KVc72W7Un9IWD;Christine Ricol;43;[]
6S4WAihWktrOYeJdslsjcM;Daniel Lavoie;50;['auteur-compositeur-interprete quebecois', 'french pop']
1oXtLNYfNMQLxWsatCTCCn;Garou;56;['chanson', 'french pop']
1u9tovPnCMYuZiV3EMZqDV;Mike Brant;48;['chanson', 'french pop']
4Uk5eLOfWucThb2X4QLcX1;Elsa;41;['chanson', 'classic french pop', 'french pop']
