track_id;artists;name;popularity;release_date;release_date_precision;speechiness;instrumentalness
6Vcxzw4ifKqYxVrp3ckpVF;Gazo;HAINE&SEX;78;2021-02-26;day;0.1689999999999999;1.55e-05
4CWcaGtaOyAqBDKIeZMUe0;Naps;La kiffance;75;2021-02-26;day;0.0881;0.0
0OelIIzUQxwQuJJWa8ijw6;SCH, Jul, Le Rat Luciano;Fantôme (feat. Le Rat Luciano et Jul);56;2021-03-19;day;0.302;0.0
0rbJUPcDDlZmv9UUAuYX4b;Vald, Echelon;Echelon 2;54;2021-04-23;day;0.5;0.0
54rHJPDt8DUE2RtSg6Bsrf;Sadek, Ninho, SCH;Kimono (feat. SCH et Ninho);68;2021-04-09;day;0.322;0.0
5LYRIyhmlrDAQsYdHEvP0f;Booba, JSX;Mona Lisa;77;2021-03-04;day;0.0742;0.0
3bGGvbwbhq9kIMhHaXBdYL;Naps, SCH;La danse des bandits;72;2021-04-02;day;0.0681;1.28e-05
7qezIDRM0E3WTW1lWxItug;SCH, Jul;Mode Akimbo (feat. Jul);75;2021-03-19;day;0.158;0.0006129999999999
1SelxYHPb04GjUy0oYV1Jw;Kore, Ninho;Mon poto - Extrait de la BO de « En Passant Pécho »;70;2021-03-12;day;0.136;1.66e-05
2vd2HEhrkafOi2uveHjzzh;Alonzo, Jul, Naps;La Seleçao;72;2021-03-25;day;0.186;8.94e-05
1qG77EJYDIgxOTEsUZqNLx;SDM, Booba;Daddy;62;2021-04-07;day;0.259;0.0
1j9kCQ1R2mh2AAieXmZOZ5;Djadja & Dinaz;À cœur ouvert;67;2021-03-26;day;0.114;3.2500000000000004e-05
03cOUvF1fyW60AuUfUNiDc;SCH, Freeze corleone;Mannschaft (feat. Freeze Corleone);75;2021-03-19;day;0.321;0.0
3gvD5F8aiL5HG2c8ph2Y1b;Deeloc, Cinco;Murder (feat. Cinco);37;2021-04-22;day;0.347;0.0
3qDICBGWYjvp3G7vdDXu2Q;Kodes, Zola;Ghini Ghini (feat. Zola);61;2021-04-16;day;0.352;0.0
0m0puKQHdvRwnyBrHxnzGT;Maxi Jay, Coyote Jo Bastard;Bien (feat. Coyote Jo Bastard);33;2021-04-23;day;0.0665;0.0
22qzHBNbbzlD3krfTclRvn;Flaco Mundo, Hatik;Benzema;29;2021-04-16;day;0.2769999999999999;0.0
6NDcj7J6UfI2oqyuRfkR4a;Sofiane;Zidane;0;2021-04-26;day;0.191;0.0
3otw2ULDtStPmXUc3uH9qb;Leith;Lalala;9;2021-04-26;day;0.0594;0.0
55XmT7RH8Q2gyjsevk60sD;Berry;2000;45;2020-10-01;day;0.0754;0.0
6MHUYde9edp2cjzwYgIjiw;Damso;J’avais juste envie d’écrire.;67;2021-04-09;day;0.0469;0.000515
2lS5Rtc4HPS2aExV8w4qMG;Lambitieux, Cinco, Dadou;Mineur;30;2021-04-18;day;0.306;0.0
593Q8KVfQTfpe6UhtU1hEg;BOUB'Z;Rotterdam;44;2021-03-26;day;0.41;0.0
0PTJGoPnDh1QpnEGo7DvtE;Boumso;Affaires;40;2021-04-16;day;0.3670000000000001;0.0
4kfjlrD1hs7VE1dXVM091S;GIMS, Jul, SCH;GJS (feat. Jul & SCH);49;2021-04-04;day;0.275;0.0
6sRPU30pj9A6G1pBXqzQkM;Moha K;Vroum Vroum;77;2021-03-26;day;0.0444;0.0
09P4PuzCPotWldY2Aiol4Q;Frenetik;Ragnarok;49;2021-04-23;day;0.3720000000000001;0.0
0PYqC5LExMSIxO2DEdNeOO;Guy2bezbar;Business;55;2021-03-30;day;0.237;0.0
2BLJJmV6hj5nJ5mkEj2LoJ;SDM, PLK;Le bruit des applaudissements;64;2021-04-08;day;0.196;3.72e-05
0i5GJckWb9uCZU4jcGoBca;Ninho;Tout en Gucci;72;2020-10-30;day;0.233;5.1e-06
2eCSMPxV5U3MdqiXDELLRc;Gazo, Tiakola;KASSAV (feat. Tiakola);69;2021-01-14;day;0.33;6.84e-06
5B92ksvn4XFGrHynFhmel9;Sadek, Vald;Alliance (feat. Vald);46;2021-04-09;day;0.14;0.0
02uSh14aUckmfTVj5MEhmg;ASHE 22, Freeze corleone;Scellé Part. 3;60;2021-04-09;day;0.237;1.23e-05
5F3a25TCO9EpVjGxhAn9Rc;RK;Demain;58;2021-04-15;day;0.364;0.0
52yZydTRNmxinmjt5hjk95;SCH;Crack;73;2021-03-19;day;0.1939999999999999;2.660000000000001e-05
3bD9Zh2r81FCSrHLWmOmix;Vladimir Cauchemar, Laylow, Asdek, Rim'K;Brrr;63;2021-04-07;day;0.23;0.000739
132qzIQBxnP6lnev3kXGcv;YL;Larlar 5 (Yamine);56;2021-04-06;day;0.258;0.0
42iot95IIzvmHIjgas4y2R;Djadja & Dinaz, SRNO;BB;49;2021-03-25;day;0.254;0.0
66ekL2hBXsDLZcC8on0hvX;Niska;Bolivienne;65;2021-04-05;day;0.0794;3.68e-05
6uAL5MbQ6bOBOrgqf05FK6;Djadja & Dinaz;Plein les poches;68;2021-03-26;day;0.105;3.39e-05
5SqR7dxbJiTSadTaVEhZ04;Jok'air;Elles ont trop joué avec mon cœur;72;2020-12-14;day;0.0471;0.0397
