;name;url;tt
0;10 Cloverfield Lane;https://film-grab.com/2017/03/24/10-cloverfield-lane/;tt1179933
1;12 Angry Men;https://film-grab.com/2013/11/19/12-angry-men/;tt0050083
2;12 Years A Slave;https://film-grab.com/2014/05/30/12-years-a-slave/;tt2024544
3;127 Hours;https://film-grab.com/2013/09/16/127-hours/;tt1542344
4;13th;https://film-grab.com/2017/03/03/13th/;tt5895028
5;1917;https://film-grab.com/2020/09/01/1917/;tt8579674
6;1984;https://film-grab.com/2020/03/20/1984/;tt0087803
7;20,000 Days on Earth;https://film-grab.com/2020/02/11/20000-days-on-earth/;tt2920540
8;2001: A Space Odyssey;https://film-grab.com/2010/07/06/2001-a-space-odyssey/;tt0062622
9;2046;https://film-grab.com/2014/02/20/2046/;tt0212712
10;20th Century Women;https://film-grab.com/2020/03/25/20th-century-women/;tt4385888
11;21 Grams;https://film-grab.com/2020/07/14/21-grams/;tt0315733
12;24 Hour Party People;https://film-grab.com/2013/07/31/24-hour-party-people/;tt0274309
13;25th Hour;https://film-grab.com/2010/11/17/25th-hour/;tt0307901
14;28 Days Later;https://film-grab.com/2014/03/10/28-days-later/;tt0289043
15;3 From Hell;https://film-grab.com/2020/06/29/3-from-hell/;tt8134742
16;3 Women;https://film-grab.com/2014/05/18/3-women/;tt0075612
17;30 Days of Night;https://film-grab.com/2019/10/09/30-days-of-night/;tt0389722
18;300;https://film-grab.com/2020/06/26/300/;tt0416449
19;35 Shots of Rum;https://film-grab.com/2014/10/23/35-shots-of-rum/;tt1100048
20;42nd Street;https://film-grab.com/2018/09/11/42nd-street/;tt0024034
21;45 Years;https://film-grab.com/2019/06/27/45-years/;tt3544082
22;5 Dolls for an August Moon;https://film-grab.com/2017/12/20/5-dolls-for-an-august-moon/;tt0065553
23;500 Days of Summer;https://film-grab.com/2016/11/01/500-days-of-summer/;tt1022603
24;71 Fragments of a Chronology of Chance;https://film-grab.com/2016/06/08/71-fragments-of-a-chronology-of-chance/;tt0109020
25;8 1/2;https://film-grab.com/2014/10/10/8-12/;tt0056801
26;9 Songs;https://film-grab.com/2019/01/24/9-songs/;tt0411705
27;A Beautiful Day In The Neighborhood;https://film-grab.com/2020/09/14/a-beautiful-day-in-the-neighborhood/;tt3224458
28;A Bigger Splash;https://film-grab.com/2017/07/07/a-bigger-splash/;tt2056771
29;A Clockwork Orange;https://film-grab.com/2010/07/07/a-clockwork-orange/;tt0066921
30;A Cock and Bull Story;https://film-grab.com/2020/07/07/a-cock-and-bull-story/;tt0423409
31;A Cure For Wellness;https://film-grab.com/2020/07/16/a-cure-for-wellness/;tt4731136
32;A Dangerous Method;https://film-grab.com/2014/03/30/a-dangerous-method/;tt1571222
33;A Date for Mad Mary;https://film-grab.com/2019/03/17/a-date-for-mad-mary/;tt4197642
34;A Field In England;https://film-grab.com/2014/01/03/a-field-in-england/;tt2375574
35;A Ghost Story;https://film-grab.com/2019/03/06/a-ghost-story/;tt6265828
36;A Girl Walks Home Alone at Night;https://film-grab.com/2016/02/12/a-girl-walks-home-alone-at-night/;tt2326554
37;A Glimpse Inside The Mind Of Charles Swan III;https://film-grab.com/2014/05/19/a-glimpse-inside-the-mind-of-charles-swan-iii/;tt2044729
38;A Hard Days Night;https://film-grab.com/2014/05/26/a-hard-days-night/;tt0058182
39;A Hidden Life;https://film-grab.com/2020/09/07/a-hidden-life/;tt5827916
40;A History of Violence;https://film-grab.com/2014/08/19/a-history-of-violence/;tt0399146
41;A Hitchhiker’s Guide To The Galaxy;https://film-grab.com/2014/06/17/a-hitchhikers-guide-to-the-galaxy/;tt0371724
42;A Hologram for the King;https://film-grab.com/2020/07/10/a-hologram-for-the-king/;tt2980210
43;A Horrible Way To Die;https://film-grab.com/2014/06/25/a-horrible-way-to-die/;tt1617620
44;A Lesson In Love;https://film-grab.com/2015/01/05/a-lesson-in-love/;tt0047167
45;A Lizard In A Woman’s Skin;https://film-grab.com/2014/09/14/a-lizard-in-a-womans-skin/;tt0067361
46;A Mighty Heart;https://film-grab.com/2020/07/24/a-mighty-heart/;tt0829459
47;A Monster Calls;https://film-grab.com/2019/08/23/a-monster-calls/;tt3416532
48;A Most Violent Year;https://film-grab.com/2015/07/10/a-most-violent-year/;tt2937898
49;A Night at the Opera;https://film-grab.com/2017/07/12/a-night-at-the-opera/;tt0026778
50;A Nightmare On Elm Street;https://film-grab.com/2014/10/27/a-nightmare-on-elm-street/;tt0087800
51;A Nightmare On Elm Street 2: Freddy’s Revenge;https://film-grab.com/2014/10/28/a-nightmare-on-elm-street-2-freddys-revenge/;tt0089686
52;A Nightmare On Elm Street 3: Dream Warriors;https://film-grab.com/2014/10/29/a-nightmare-on-elm-street-3-dream-warriors/;tt0093629
53;A Nightmare On Elm Street 4: The Dream Master;https://film-grab.com/2014/10/30/a-nightmare-on-elm-street-4-the-dream-master/;tt0095742
54;A Nightmare On Elm Street 5: The Dream Child;https://film-grab.com/2014/10/31/a-nightmare-on-elm-street-5-the-dream-child/;tt0097981
55;A Pigeon Sat on a Branch Reflecting on Existence;https://film-grab.com/2020/04/23/a-pigeon-sat-on-a-branch-reflecting-on-existence/;tt1883180
56;A Prairie Home Companion;https://film-grab.com/2014/04/20/a-prairie-home-companion/;tt0420087
57;A Quiet Passion;https://film-grab.com/2019/07/23/a-quiet-passion/;tt2392830
58;A Quiet Place;https://film-grab.com/2019/07/05/a-quiet-place/;tt6644200
59;A Quiet Place In The Country;https://film-grab.com/2018/10/02/a-quiet-place-in-the-country/;tt0065119
60;A Room For Romeo Brass;https://film-grab.com/2016/06/05/a-room-for-romeo-brass/;tt0202559
61;A Safe Place;https://film-grab.com/2017/06/25/a-safe-place/;tt0110490
62;A Scanner Darkly;https://film-grab.com/2014/12/02/a-scanner-darkly/;tt0405296
63;A Serious Man;https://film-grab.com/2013/10/04/a-serious-man/;tt1019452
64;A Ship Bound for India;https://film-grab.com/2014/10/20/a-ship-bound-for-india/;tt0039834
65;A Single Man;https://film-grab.com/2015/04/03/a-single-man/;tt1315981
66;A Star Is Born (2018);https://film-grab.com/2019/11/25/a-star-is-born-2018/;tt1517451
67;A Summer at Grandpa’s;https://film-grab.com/2018/09/16/a-summer-at-grandpas/;tt0087164
68;A Swedish Love Story;https://film-grab.com/2019/09/05/a-swedish-love-story/;tt0065955
69;A Tale of Springtime;https://film-grab.com/2015/11/08/a-tale-of-springtime/;tt0097106
70;A Tale of Two Sisters;https://film-grab.com/2015/09/05/a-tale-of-two-sisters/;tt0365376
71;A Time To Love and A Time To Die;https://film-grab.com/2018/09/30/a-time-to-love-and-a-time-to-die/;tt0052296
72;A Very Long Engagement;https://film-grab.com/2014/11/19/a-very-long-engagement/;tt0344510
73;A Visitor to a Museum;https://film-grab.com/2020/01/19/a-visitor-to-a-museum/;tt0173024
74;A Wrinkle In Time;https://film-grab.com/2019/07/12/a-wrinkle-in-time/;tt1620680
75;A.I. Artificial Intelligence;https://film-grab.com/2017/01/04/a-i-artificial-intelligence/;tt0212720
76;About Schmidt;https://film-grab.com/2013/12/09/about-schmidt/;tt0257360
77;Accident;https://film-grab.com/2019/02/05/accident/;tt3313054
78;Ace In The Hole;https://film-grab.com/2014/05/07/ace-in-the-hole/;tt0043338
79;Across the Universe;https://film-grab.com/2017/01/24/across-the-universe/;tt0445922
80;Ad Astra;https://film-grab.com/2020/06/30/ad-astra/;tt2935510
81;Adam Green’s Aladdin;https://film-grab.com/2017/02/06/adam-greens-aladdin/;tt3982118
82;Adam Resurrected;https://film-grab.com/2014/10/25/adam-resurrected/;tt0479341
83;Adaptation;https://film-grab.com/2015/02/26/adaptation/;tt0268126
84;Adult World;https://film-grab.com/2015/12/04/adult-world/;tt1067765
85;Adventureland;https://film-grab.com/2010/08/30/adventureland/;tt1091722
86;Aeon Flux;https://film-grab.com/2020/07/01/aeon-flux/;tt0402022
87;After Hours;https://film-grab.com/2014/06/04/after-hours/;tt0088680
88;After The Rehearsal;https://film-grab.com/2015/07/13/after-the-rehearsal/;tt0096442
89;Afterschool;https://film-grab.com/2020/07/16/afterschool/;tt1224366
90;Age of Consent;https://film-grab.com/2019/05/05/age-of-consent/;tt0063991
91;Aguirre, The Wrath Of God (Aguirre, der Zorn Gottes);https://film-grab.com/2010/11/20/aguirre-the-wrath-of-god-aguirre-der-zorn-gottes/;tt0068182
92;Ain’t Them Bodies Saints;https://film-grab.com/2014/01/13/aint-them-bodies-saints/;tt2388637
93;Akira;https://film-grab.com/2020/03/03/akira/;tt0094625
94;Alexandria…Why?;https://film-grab.com/2020/03/21/alexandria-why/;tt0077751
95;Ali;https://film-grab.com/2017/01/09/ali/;tt0248667
96;Ali: Fear Eats The Soul;https://film-grab.com/2014/05/23/ali-fear-eats-the-soul/;tt0071141
97;Alice;https://film-grab.com/2016/06/22/alice/;tt1014759
98;Alice Doesn’t Live Here Anymore;https://film-grab.com/2014/06/04/alice-doesnt-live-here-anymore/;tt0071115
99;Alice in the Cities;https://film-grab.com/2020/02/20/alice-in-the-cities/;tt0069687
100;Alice in Wonderland;https://film-grab.com/2016/06/21/alice-in-wonderland/;tt1014759
101;Alien;https://film-grab.com/2013/07/24/alien/;tt0078748
102;Alien 3;https://film-grab.com/2014/09/09/alien-3/;tt0103644
103;Alien: Covenant;https://film-grab.com/2020/07/14/alien-covenant/;tt2316204
104;Alien: Resurrection;https://film-grab.com/2014/09/10/alien-resurrection/;tt0118583
105;Aliens;https://film-grab.com/2014/09/08/aliens/;tt0090605
106;All About My Mother;https://film-grab.com/2015/03/30/all-about-my-mother/;tt0185125
107;All Is Lost;https://film-grab.com/2014/05/21/all-is-lost/;tt2017038
108;All or Nothing;https://film-grab.com/2020/07/17/all-or-nothing/;tt0286261
109;All Quiet on the Western Front;https://film-grab.com/2020/07/17/all-quiet-on-the-western-front/;tt0020629
110;All That Jazz;https://film-grab.com/2018/09/13/all-that-jazz/;tt0078754
111;All The Real Girls;https://film-grab.com/2010/06/22/all-the-real-girls/;tt0299458
112;All These Women;https://film-grab.com/2015/03/16/all-these-women/;tt0058124
113;Alléluia;https://film-grab.com/2018/10/26/alleluia/;tt3218580
114;Almanac of Fall;https://film-grab.com/2015/04/02/almanac-of-fall/;tt0087855
115;Almayer’s Folly;https://film-grab.com/2014/09/21/almayers-folly/;tt1532530
116;Almost Famous;https://film-grab.com/2015/04/20/almost-famous/;tt0181875
117;Alphaville;https://film-grab.com/2012/08/10/alphaville/;tt0058898
118;Alps;https://film-grab.com/2014/05/27/alps/;tt1859446
119;Always Shine;https://film-grab.com/2020/07/15/always-shine/;tt4392770
120;Amarcord;https://film-grab.com/2014/11/14/amarcord/;tt0071129
121;Amelie;https://film-grab.com/2012/11/05/amelie/;tt0211915
122;Amer;https://film-grab.com/2014/05/14/amer/;tt1426352
123;American Animals;https://film-grab.com/2019/07/26/american-animals/;tt6212478
124;American Beauty;https://film-grab.com/2010/11/23/american-beauty/;tt0169547
125;American Gangster;https://film-grab.com/2015/02/12/american-gangster/;tt0765429
126;American Gigolo;https://film-grab.com/2014/06/07/american-gigolo/;tt0080365
127;American Graffiti;https://film-grab.com/2015/01/20/american-graffiti/;tt0069704
128;American History X;https://film-grab.com/2015/04/24/american-history-x/;tt0120586
129;American Honey;https://film-grab.com/2017/05/19/american-honey/;tt3721936
130;American Hustle;https://film-grab.com/2015/09/04/american-hustle/;tt1800241
131;American Mary;https://film-grab.com/2015/03/01/american-mary/;tt1959332
132;American Psycho;https://film-grab.com/2014/10/01/american-psycho/;tt0144084
133;Amour;https://film-grab.com/2014/09/18/amour/;tt1602620
134;An Actor’s Revenge;https://film-grab.com/2020/07/15/an-actors-revenge/;tt0057710
135;An American In Paris;https://film-grab.com/2014/11/11/an-american-in-paris/;tt0043278
136;An American Werewolf in London;https://film-grab.com/2013/09/13/an-american-werewolf-in-london/;tt0082010
137;An Evening With Beverly Luff Linn;https://film-grab.com/2020/07/23/an-evening-with-beverly-luff-linn/;tt6518270
138;Anatomy of a Relationship;https://film-grab.com/2019/07/14/anatomy-of-a-relationship/;tt0072643
139;And The Fifth Horseman is Fear;https://film-grab.com/2018/06/03/and-the-fifth-horseman-is-fear/;tt0123368
140;And The Ship Sails On;https://film-grab.com/2014/12/12/and-the-ship-sails-on/;tt0087188
